IDfg,Name,playerID,yearid,votedBy,ballots,needed,votes,inducted,category,needed_note
1000041,Babe Adams,adamsba01,1961,Veterans,,,,N,Player,Preliminary poll
1000754,Jake Beckley,becklja01,1961,Veterans,,,,N,Player,Preliminary poll
1001304,Bill Bradley,bradlbi01,1961,Veterans,,,,N,Player,Preliminary poll
1001749,Donie Bush,bushdo01,1961,Veterans,,,,N,Player,Finalist
1001944,Max Carey,careyma01,1961,Veterans,,,,Y,Player,
1002293,John Clarkson,clarkjo01,1961,Veterans,,,,N,Player,Finalist
1002537,Roger Connor,connoro01,1961,Veterans,,,,N,Player,Finalist
1002583,Jack Coombs,coombja01,1961,Veterans,,,,N,Player,Finalist
1002602,Wilbur Cooper,coopewi01,1961,Veterans,,,,N,Player,Preliminary poll
1002622,Tommy Corcoran,corcoto01,1961,Veterans,,,,N,Player,Preliminary poll
1002682,Stan Coveleski,covelst01,1961,Veterans,,,,N,Player,Finalist
1002808,Lave Cross,crossla01,1961,Veterans,,,,N,Player,Finalist
1002924,Bill Dahlen,dahlebi01,1961,Veterans,,,,N,Player,Preliminary poll
1003005,Jake Daubert,daubeja01,1961,Veterans,,,,N,Player,
1004158,Elmer Flick,flickel01,1961,Veterans,,,,N,Player,Finalist
1004469,Pud Galvin,galvipu01,1961,Veterans,,,,N,Player,Finalist
1004757,Jack Glasscock,glassja01,1961,Veterans,,,,N,Player,Finalist
1004946,Eddie Grant,granted01,1961,Veterans,,,,N,Player,Preliminary poll
1005270,Billy Hamilton,hamilbi01,1961,Veterans,,,,Y,Player,
1005314,Ned Hanlon,hanlone01,1961,Veterans,,,,N,Manager,Finalist
1006002,Harry Hooper,hoopeha01,1961,Veterans,,,,N,Player,Finalist
1006148,Miller Huggins,huggimi01,1961,Veterans,,,,N,Manager,Finalist
1008125,Rube Marquard,marquru01,1961,Veterans,,,,N,Player,Finalist
1006743,Tim Keefe,keefeti01,1961,Veterans,,,,N,Player,Finalist
1006776,Joe Kelley,kellejo01,1961,Veterans,,,,N,Player,Finalist
1007008,Johnny Kling,klingjo01,1961,Veterans,,,,N,Player,Finalist
1007579,Duffy Lewis,lewisdu01,1961,Veterans,,,,N,Player,Finalist
1008558,Bill McGunnigle,mcgunbi01,1961,Veterans,,,,N,Manager,Preliminary poll
1008582,Bill McKechnie,mckecbi01,1961,Veterans,,,,N,Manager,Finalist
1009302,George Mullin,mullige01,1961,Veterans,,,,N,Player,Preliminary poll
1011308,Amos Rusie,rusieam01,1961,Veterans,,,,N,Player,Finalist
1011918,Urban Shocker,shockur01,1961,Veterans,,,,N,Player,Preliminary poll
1012822,Jesse Tannehill,tanneje01,1961,Veterans,,,,N,Player,Preliminary poll
1012916,Fred Tenney,tennefr02,1961,Veterans,,,,N,Player,Finalist
1013024,Sam Thompson,thompsa01,1961,Veterans,,,,N,Player,Finalist
1013088,Jack Tobin,tobinja01,1961,Veterans,,,,N,Player,Preliminary poll
1013615,John Ward,wardjo01,1961,Veterans,,,,N,Player,Finalist
1013757,Mickey Welch,welchmi01,1961,Veterans,,,,N,Player,Finalist
1014042,Vic Willis,willivi01,1961,Veterans,,,,N,Player,Preliminary poll
1014116,Hooks Wiltse,wiltsho01,1961,Veterans,,,,N,Player,Preliminary poll
1014390,Ross Youngs,youngro01,1961,Veterans,,,,N,Player,Finalist
