IDfg,Name,playerID,awardID,yearID,lgID,tie,notes
1875.0,Josh Hamilton,hamiljo03,Lou Gehrig Memorial Award,2013,ML,,
10847.0,Andrelton Simmons,simmoan01,Platinum Glove,2013,NL,,
11493.0,Manny Machado,machama01,Platinum Glove,2013,AL,,
745.0,David Ortiz,ortizda01,Babe Ruth Award,2013,AL,,
607.0,Raul Ibanez,ibanera01,Hutch Award,2013,ML,,
9227.0,Koji Uehara,ueharko01,ALCS MVP,2013,AL,,
844.0,Mariano Rivera,riverma01,All-Star Game MVP,2013,NL,,
2036.0,Clayton Kershaw,kershcl01,Branch Rickey Award,2013,ML,,
844.0,Mariano Rivera,riverma01,Comeback Player of the Year,2013,AL,,
3201.0,Francisco Liriano,liriafr01,Comeback Player of the Year,2013,NL,,
3137.0,Max Scherzer,scherma01,Cy Young Award,2013,AL,,
2036.0,Clayton Kershaw,kershcl01,Cy Young Award,2013,NL,,
3516.0,Eric Hosmer,hosmeer01,Gold Glove,2013,AL,,1B
8370.0,Dustin Pedroia,pedrodu01,Gold Glove,2013,AL,,2B
11493.0,Manny Machado,machama01,Gold Glove,2013,AL,,3B
7304.0,Salvador Perez,perezsa02,Gold Glove,2013,AL,,C
6368.0,Adam Jones,jonesad01,Gold Glove,2013,AL,,CF
5209.0,Alex Gordon,gordoal01,Gold Glove,2013,AL,,LF
1677.0,Shane Victorino,victosh01,Gold Glove,2013,AL,,RF
9218.0,Paul Goldschmidt,goldspa01,Gold Glove,2013,NL,,1B
791.0,Brandon Phillips,phillbr01,Gold Glove,2013,NL,,2B
9777.0,Nolan Arenado,arenano01,Gold Glove,2013,NL,,3B
7007.0,Yadier Molina,molinya01,Gold Glove,2013,NL,,C
4881.0,Carlos Gomez,gomezca01,Gold Glove,2013,NL,,CF
7287.0,Carlos Gonzalez,gonzaca01,Gold Glove,2013,NL,,LF
2233.0,Adam Wainwright,wainwad01,Gold Glove,2013,NL,,P
8553.0,Gerardo Parra,parrage01,Gold Glove,2013,NL,,RF
10847.0,Andrelton Simmons,simmoan01,Gold Glove,2013,NL,,SS
1744.0,Miguel Cabrera,cabremi01,Hank Aaron Award,2013,AL,,
9218.0,Paul Goldschmidt,goldspa01,Hank Aaron Award,2013,NL,,
1744.0,Miguel Cabrera,cabremi01,Most Valuable Player,2013,AL,,
9847.0,Andrew McCutchen,mccutan01,Most Valuable Player,2013,NL,,
14078.0,Michael Wacha,wachami01,NLCS MVP,2013,NL,,
589.0,Carlos Beltran,beltrca01,Roberto Clemente Award,2013,ML,,
10047.0,Wil Myers,myerswi01,Rookie of the Year,2013,AL,,
1003998.0,Jose Fernandez,fernajo02,Rookie of the Year,2013,NL,,
9272.0,Chris Davis,davisch02,Silver Slugger,2013,AL,,1B
3269.0,Robinson Cano,canoro01,Silver Slugger,2013,AL,,2B
1744.0,Miguel Cabrera,cabremi01,Silver Slugger,2013,AL,,3B
1857.0,Joe Mauer,mauerjo01,Silver Slugger,2013,AL,,C
745.0,David Ortiz,ortizda01,Silver Slugger,2013,AL,,DH
731.0,Torii Hunter,hunteto01,Silver Slugger,2013,AL,,OF
6368.0,Adam Jones,jonesad01,Silver Slugger,2013,AL,,OF
10155.0,Mike Trout,troutmi01,Silver Slugger,2013,AL,,OF
9218.0,Paul Goldschmidt,goldspa01,Silver Slugger,2013,NL,,1B
8090.0,Matt Carpenter,carpema01,Silver Slugger,2013,NL,,2B
2495.0,Pedro Alvarez,alvarpe01,Silver Slugger,2013,NL,,3B
7007.0,Yadier Molina,molinya01,Silver Slugger,2013,NL,,C
9892.0,Jay Bruce,bruceja01,Silver Slugger,2013,NL,,OF
1534.0,Michael Cuddyer,cuddymi01,Silver Slugger,2013,NL,,OF
9847.0,Andrew McCutchen,mccutan01,Silver Slugger,2013,NL,,OF
1943.0,Zack Greinke,greinza01,Silver Slugger,2013,NL,,P
6885.0,Ian Desmond,desmoia01,Silver Slugger,2013,NL,,SS
1744.0,Miguel Cabrera,cabremi01,TSN Major League Player of the Year,2013,ML,,
745.0,David Ortiz,ortizda01,World Series MVP,2013,ML,,
